,ensembl_gene_id,external_gene_name
606,ENSG00000240438,OFD1P5Y
607,ENSG00000286247,
608,ENSG00000225624,TBL1YP1
609,ENSG00000284915,TINF2
610,ENSG00000280969,RPS4Y2
611,ENSG00000224482,HSFY4P
612,ENSG00000216844,
613,ENSG00000229551,GAPDHP17
614,ENSG00000226504,TMEM167AP1
615,ENSG00000254488,
616,ENSG00000237427,TOMM22P1
617,ENSG00000289707,
618,ENSG00000232634,NEFLP1
619,ENSG00000226918,
620,ENSG00000285348,TGM1
621,ENSG00000183146,PRORY
622,ENSG00000236615,
623,ENSG00000288057,
624,ENSG00000237269,RBMY2TP
625,ENSG00000169849,TSPY14P
626,ENSG00000169811,RBMY1HP
627,ENSG00000242393,
628,ENSG00000228257,
629,ENSG00000184991,TTTY13
630,ENSG00000285193,RABGGTA
631,ENSG00000271123,ELOCP5
632,ENSG00000226042,CDY10P
633,ENSG00000237023,USP9YP3
634,ENSG00000229416,USP9YP8
635,ENSG00000230029,CDY11P
636,ENSG00000224169,HSFY6P
637,ENSG00000223407,USP9YP18
638,ENSG00000226873,CDY14P
639,ENSG00000227915,ELOCP16
640,ENSG00000236620,XKRYP3
641,ENSG00000224866,USP9YP25
642,ENSG00000232424,USP9YP29
643,ENSG00000252681,RNU1-97P
644,ENSG00000232910,RAB9AP1
645,ENSG00000232845,TRAPPC2P9
646,ENSG00000237302,OFD1P11Y
647,ENSG00000169763,PRYP3
648,ENSG00000277930,
649,ENSG00000252468,RNU2-57P
650,ENSG00000231341,VDAC1P6
651,ENSG00000235001,EIF4A1P2
652,ENSG00000287436,
653,ENSG00000214207,KRT18P10
654,ENSG00000286762,
655,ENSG00000278585,SNX3P1Y
656,ENSG00000235175,RPL26P37
657,ENSG00000284868,DHRS1
658,ENSG00000099715,PCDH11Y
659,ENSG00000285326,NOP9
660,ENSG00000285199,CIDEB
661,ENSG00000285203,LTB4R2
662,ENSG00000225466,OFD1P10Y
663,ENSG00000231540,ELOCP9
664,ENSG00000223362,CDY15P
665,ENSG00000231026,XKRYP4
666,ENSG00000224571,USP9YP13
667,ENSG00000226369,USP9YP11
668,ENSG00000285456,LTB4R
669,ENSG00000280961,TTTY3B
670,ENSG00000227871,USP9YP12
671,ENSG00000251917,RNU1-86P
672,ENSG00000231423,RAB9AP5
673,ENSG00000228465,TRAPPC2P10
674,ENSG00000232585,OFD1P12Y
675,ENSG00000284814,ADCY4
676,ENSG00000234081,ELOCP10
677,ENSG00000172352,CDY1B
678,ENSG00000231375,CDY17P
679,ENSG00000237467,USP9YP35
680,ENSG00000229250,USP9YP31
681,ENSG00000232205,CDY18P
682,ENSG00000235981,
683,ENSG00000223698,GOLGA6L11P
684,ENSG00000242854,DNM1P24
685,ENSG00000230977,
686,ENSG00000244231,CSPG4P2Y
687,ENSG00000172342,CSPG4P3Y
688,ENSG00000284071,
689,ENSG00000274234,RN7SL818P
690,ENSG00000225491,UBE2Q2P4Y
691,ENSG00000224827,LINC00265-2P
692,ENSG00000233740,CICP2
693,ENSG00000285511,
694,ENSG00000248792,SEPTIN14P22
695,ENSG00000279274,
696,ENSG00000234399,RBMY2XP
697,ENSG00000285379,RIPK3
698,ENSG00000227439,TTTY17B
699,ENSG00000224210,TRIM60P5Y
700,ENSG00000232003,ZNF736P12Y
701,ENSG00000235412,TTTY4B
702,ENSG00000285386,U6
703,ENSG00000183795,BPY2B
704,ENSG00000240566,
705,ENSG00000236379,ZNF736P4Y
706,ENSG00000274899,
707,ENSG00000285485,NFATC4
708,ENSG00000223641,TTTY17C
709,ENSG00000227633,RBMY2YP
710,ENSG00000279115,
711,ENSG00000228786,SEPTIN14P23
712,ENSG00000233652,CICP1
713,ENSG00000233944,LINC00265-3P
714,ENSG00000223636,UBE2Q2P5Y
715,ENSG00000172297,GOLGA2P3Y
716,ENSG00000278242,RN7SL725P
717,ENSG00000284380,
718,ENSG00000172294,CSPG4P4Y
719,ENSG00000240450,CSPG4P1Y
720,ENSG00000239304,DNM1P48
721,ENSG00000233619,
722,ENSG00000197092,GOLGA6L16P
723,ENSG00000235583,
724,ENSG00000237823,CDY19P
725,ENSG00000229709,USP9YP36
726,ENSG00000232064,USP9YP33
727,ENSG00000225609,CDY20P
728,ENSG00000270535,ELOCP34
729,ENSG00000225287,OFD1P13Y
730,ENSG00000225256,TRAPPC2P5
731,ENSG00000223856,RAB9AP2
732,ENSG00000235004,USP9YP30
733,ENSG00000252426,RNU1-107P
734,ENSG00000231141,TTTY3
735,ENSG00000232614,USP9YP9
736,ENSG00000225326,USP9YP19
737,ENSG00000284807,DHRS4
738,ENSG00000223406,XKRYP5
739,ENSG00000215506,TPTE2P4
740,ENSG00000224240,CYCSP49
741,ENSG00000227629,SLC25A15P1
742,ENSG00000237917,PARP4P1
743,ENSG00000231514,CCNQP2
744,ENSG00000292270,DHRS4L2
745,ENSG00000172288,CDY1
746,ENSG00000226941,RBMY1J
747,ENSG00000284898,DHRS4L1
748,ENSG00000238074,TSPY9
749,ENSG00000289826,
750,ENSG00000239893,ZNF736P9Y
751,ENSG00000242875,RBMY1B
752,ENSG00000234414,RBMY1A1
753,ENSG00000234795,RFTN1P1
754,ENSG00000290323,
755,ENSG00000225516,FAM197Y5
756,ENSG00000290330,FAM197Y5
757,ENSG00000234803,FAM197Y2
758,ENSG00000290332,
759,ENSG00000243040,RBMY2FP
760,ENSG00000290336,RBMY2FP
761,ENSG00000285435,H3-4
762,ENSG00000284795,RPL23AP15
763,ENSG00000173357,
764,ENSG00000284841,H2AC25
765,ENSG00000290342,
766,ENSG00000285449,H2BC26
767,ENSG00000284998,MIR4666A
768,ENSG00000236718,RBMY2QP
769,ENSG00000285234,H2BC27P
770,ENSG00000285050,
771,ENSG00000290344,
772,ENSG00000285426,RNF187
773,ENSG00000224657,RBMY2BP
774,ENSG00000285153,BTNL10P
775,ENSG00000290348,
776,ENSG00000285166,RNA5S1
777,ENSG00000285285,RNA5S2
778,ENSG00000285168,RNA5S3
779,ENSG00000250204,TTTY23B
780,ENSG00000284853,RNA5S16
781,ENSG00000285158,RNA5S17
782,ENSG00000290369,TTTY23B
783,ENSG00000284877,RNA5SP18
784,ENSG00000285311,DUSP5P1
785,ENSG00000285183,
786,ENSG00000274196,FAM197Y4
787,ENSG00000285319,FTH1P2
788,ENSG00000284984,RHOU
789,ENSG00000290373,FAM197Y4
790,ENSG00000225685,TSPY5P
791,ENSG00000290378,
792,ENSG00000180910,TTTY11
793,ENSG00000290381,TTTY11
794,ENSG00000224060,ARSLP1
795,ENSG00000290435,
796,ENSG00000234830,FAM197Y9
797,ENSG00000290448,FAM197Y9
798,ENSG00000230066,FAM197Y3
799,ENSG00000290607,FAM197Y3
800,ENSG00000242153,OFD1P6Y
801,ENSG00000290716,TTTY9A
802,ENSG00000250868,XKRY
803,ENSG00000290724,XKRY
804,ENSG00000244646,XKRYP7
805,ENSG00000290725,XKRYP7
806,ENSG00000282909,
807,ENSG00000290726,
808,ENSG00000288686,
809,ENSG00000290840,XGY2
810,ENSG00000227289,HSFY3P
811,ENSG00000290841,
812,ENSG00000235462,TAB3P1
813,ENSG00000290852,
814,ENSG00000241859,ANOS2P
815,ENSG00000290853,
816,ENSG00000223637,RBMY2EP
817,ENSG00000290954,
